date_key	buyer_code_sahamdari	buyer_code_melli	buyer_mahal_sodoor	type_of_buyer	buyer_broker_name	buyer_broker_code	seller_code_sahamdari	seller_code_melli	seller_mahal_sodoor	type_of_seller	seller_broker_name	seller_broker_code	number_of_units	price
14020303	xxxx	yyyy	شهرضا	حقیقی ایرانی	مشتری‌الکترونیکی‌مبین‌سرمایه‌-تدبیر	7C	ssss	zzzz	استهبان	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	2	19590
14020303	xxxx	yyyy	تبریز	حقیقی ایرانی	مشتری‌الکترونیکی‌حافظ1	3S	ssss	zzzz	لردگان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	500	19490
14020303	xxxx	yyyy	اصفهان	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	آبادان	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	4	19650
14020303	xxxx	yyyy	تهران	حقوقی ایرانی	بازارگردان‌الکترونیکی‌الگوریتمی‌تامین‌سرمایه	Nv	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	3725	19680
14020303	xxxx	yyyy	قزوین	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	256	19680
14020303	xxxx	yyyy	بهار	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	4432	19800
14020303	xxxx	yyyy	خامنه	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	823	19800
14020303	xxxx	yyyy	قم	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	4445	19800
14020303	xxxx	yyyy	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	1158	19760
14020303	xxxx	yyyy	خمین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	300	19810
14020303	xxxx	yyyy	مهریز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	7500	19760
14020303	xxxx	yyyy	کلیبر	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	66	19680
14020303	xxxx	yyyy	سلماس	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	1000	19700
14020303	xxxx	yyyy	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	یزد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	350	19680
14020303	xxxx	yyyy	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	102	19520
14020303	xxxx	yyyy	رباطکریم	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	300	19520
14020303	xxxx	yyyy	اسدآباد	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	300	19520
14020303	xxxx	yyyy	تالش	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	307	19520
14020303	xxxx	yyyy	همدان	حقیقی ایرانی	مشتری‌الکترونیکی‌کارآمد	5V	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	327	19520
14020303	xxxx	yyyy	ورامین	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید	3G	ssss	zzzz	مشهد	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	24	19520
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	کرمان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	400	19860
14020302	xxxx	yyyy	تهران	حقوقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	ssss	zzzz	سنقر	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	4	19800
14020303	xxxx	yyyy	تبریز	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تویسرکان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	100	19510
14020303	xxxx	yyyy	بهار	حقیقی ایرانی	مشتری‌الکترونیکی‌مفید2-مفید	Mo	ssss	zzzz	تویسرکان	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	2422	19510
14020302	xxxx	yyyy	بابل	حقیقی ایرانی	مشتری‌الکترونیکی‌آگاه‌2	by	ssss	zzzz	تهران	حقیقی ایرانی	مشتری‌الکترونیکی‌تامین‌سرمایه‌نوین‌-رایان	3L	15	19710
